id,title,problem,severity,effective_enabled,reportOnly,params,in_default,default_enabled,in_ES,ES_enabled,in_CL,CL_enabled
1,WME Toolbox: Rotonda que puede causar problemas,Los números de identificación de los puntos de unión de los segmentos de la rotonda no son consecutivos,N,false,false,,false,-,true,-,false,-
2,WME Toolbox: Segmento Simple,El segmento tiene nodos de geometría innecesarios,N,false,false,,false,-,true,-,false,-
3,WME Toolbox: Bloqueo nivel 2,El segmento está resaltado por WME Toolbox. No es un problema,N,false,false,,false,-,true,-,false,-
4,WME Toolbox: Bloqueo nivel 3,El segmento está resaltado por WME Toolbox. No es un problema,N,false,false,,false,-,true,-,false,-
5,WME Toolbox: Bloqueo nivel 4,El segmento está resaltado por WME Toolbox. No es un problema,N,false,false,,false,-,true,-,false,-
6,WME Toolbox: Bloqueo nivel 5,El segmento está resaltado por WME Toolbox. No es un problema,N,false,false,,false,-,true,-,false,-
7,WME Toolbox: Bloqueo nivel 6,El segmento está resaltado por WME Toolbox. No es un problema,N,false,false,,false,-,true,-,false,-
8,WME Toolbox: Numeros de casas,El segmento está resaltado por WME Toolbox. No es un problema,N,false,false,,false,-,true,-,false,-
9,WME Toolbox: Segmento con restricciones de tiempo,El segmento está resaltado por WME Toolbox. No es un problema,N,false,false,,false,-,true,-,false,-
13,WME Colour Highlights: Bloqueo de editor,El segmento está resaltado por WME Colour Highlights. No es un problema,N,false,false,,false,-,true,-,false,-
14,WME Colour Highlights: Peaje / Vía de sentido único,El segmento está resaltado por WME Colour Highlights. No es un problema,N,false,false,,false,-,true,-,false,-
15,WME Colour Highlights: Editado recientemente,El segmento está resaltado por WME Colour Highlights. No es un problema,N,false,false,,false,-,true,-,false,-
16,WME Colour Highlights: Rango de vías,El segmento está resaltado por WME Colour Highlights. No es un problema,N,false,false,,false,-,true,-,false,-
17,WME Colour Highlights: Sin ciudad,El segmento está resaltado por WME Colour Highlights. No es un problema,N,false,false,,false,-,true,-,false,-
18,WME Colour Highlights: Restricción horaria / Tipo de vía resaltado,El segmento está resaltado por WME Colour Highlights. No es un problema,N,false,false,,false,-,true,-,false,-
19,WME Colour Highlights: Sin nombre,El segmento está resaltado por WME Colour Highlights. No es un problema,N,false,false,,false,-,true,-,false,-
20,WME Colour Highlights: Filtro por ciudad,El segmento está resaltado por WME Colour Highlights. No es un problema,N,false,false,,false,-,true,-,false,-
21,WME Colour Highlights: Filtro por ciudad (alt. ciudad),El segmento está resaltado por WME Colour Highlights. No es un problema,N,false,false,,false,-,true,-,false,-
22,WME Colour Highlights: Filtro por editor,El segmento está resaltado por WME Colour Highlights. No es un problema,N,false,false,,false,-,true,-,false,-
23,Segmento no confirmado,Cada segmento debe tener al menos el nombre del país o estado,N,true,false,,true,true,true,-,false,-
24,Puede haber nombre incorrecto de ciudad (sólo disponible en el informe),El segmento puede tener un nombre de ciudad incorrecto,W,true,true,,true,true,true,-,false,-
25,Dirección del segmento marcada como desconocida,La dirección del segmento 'Desconocida' no impedirá enrutar por la vía,W,true,false,,true,true,true,-,false,-
27,Nombre de ciudad en vía férrea,Poner nombres de ciudad en la vía férrea puede generar ciudades manchadas,N,true,false,,true,false,true,true,false,-
28,Nombre de calle en una rampa bidireccional,Si la rampa no tiene nombre el nombre del segmento siguiente se propagará hacia atrás,W,true,false,,true,true,true,-,false,-
29,Nombre de calle en rotonda,En Waze no nombramos los segmentos de las rotondas,W,true,false,,true,true,true,-,false,-
34,Nombre de calle alternativo vacío,El nombre de calle alternativo está vacío,N,true,false,,true,true,true,-,false,-
35,Segmento de vía sin terminar,Waze no enrutará desde un segmento sin terminar,W,true,false,,true,true,true,-,false,-
36,Punto de unión A innecesario (slow),Los segmentos adyacentes al punto de unión A son idénticos,N,false,false,,true,false,true,-,false,-
37,Punto de unión B innecesario (slow),Los segmentos adyacentes al punto de unión B son idénticos,N,false,false,,true,false,true,-,false,-
38,Restricción de segmento caducada (slow),El segmento tiene una restricción caducada,N,true,false,,true,true,true,-,false,-
39,Restricción de giro caducada (slow),El segmento tiene un giro con una restricción caducada,N,true,false,,true,true,true,-,false,-
41,Conectividad inversa en punto de unión A del segmento,Hay un giro que va contra la dirección del segmento en el punto de unión A del segmento,N,true,false,,true,true,true,-,false,-
42,Conectividad inversa en punto de unión B del segmento,Hay un giro que va contra la dirección del segmento en el punto de unión B del segmento,N,true,false,,true,true,true,-,false,-
43,Auto conectividad,El segmento está conectado a si mismo,E,true,false,,true,true,true,-,false,-
44,Sin conexión de salida,El segmento no tiene ningún giro de salida permitido,E,false,false,,true,false,true,-,false,-
45,Sin conexión de entrada,El segmento no privado no tiene ningún giro de entrada permitido,E,false,false,,true,false,true,-,false,-
46,Sin entrada en A (slow),El segmento no-privado no tiene ningún giro de entrada habilitado en el punto de unión A,W,true,false,,true,true,true,-,false,-
47,Sin entrada en B (slow),El segmento no-privado no tiene ningún giro de entrada habilitado en el punto de unión B,W,true,false,,true,true,true,-,false,-
48,Segmento de rotonda bidireccional,El segmento de rotonda es bidireccional,E,true,false,,true,true,true,-,false,-
50,No hay conectividad en la rotonda (slow),El segmento de la rotonda no tiene conectividad con el segmento de rotonda siguiente,E,false,false,,true,false,true,-,false,-
52,Too long street name,The name of the drivable segment is more than ${n} letters long and it is not a Ramp,N,false,false,n=30 | n.title={number} maximum street name length,true,false,false,-,false,-
54,No city on segment with HNs,Address search will fail with no city name,W,false,false,,true,false,false,-,false,-
55,No city on named segment,Address search will fail with no city name,N,false,false,,true,false,false,-,false,-
57,Nombre de ciudad en rampa con nombre,Poner el nombre de ciudad en las rampas puede afectar a los resultados de búsqueda,W,true,false,,true,false,true,true,false,-
